date,team,elo
2021-01-31,ANA,1489
2021-02-02,ANA,1500
2021-02-05,ANA,1489
2021-02-06,ANA,1499
2021-02-09,ANA,1491
2021-02-11,ANA,1503
2021-02-15,ANA,1494
2021-02-18,ANA,1483
2021-02-20,ANA,1472
2021-02-22,ANA,1463
2021-02-24,ANA,1455
2021-02-27,ANA,1446
2021-03-01,ANA,1436
2021-03-03,ANA,1427
2021-03-05,ANA,1420
2021-03-06,ANA,1434
2021-03-08,ANA,1445
2021-03-10,ANA,1435
2021-03-12,ANA,1425
2021-03-13,ANA,1416
2021-03-16,ANA,1410
2021-03-18,ANA,1421
2021-03-20,ANA,1411
2021-03-22,ANA,1406
2021-03-24,ANA,1401
2021-03-26,ANA,1414
2021-03-28,ANA,1426
2021-03-29,ANA,1420
2021-04-02,ANA,1411
2021-04-04,ANA,1402
2021-04-06,ANA,1416
2021-04-09,ANA,1409
2021-04-11,ANA,1403
2021-04-12,ANA,1416
2021-04-14,ANA,1429
2021-04-16,ANA,1422
2021-04-18,ANA,1416
2021-04-20,ANA,1408
2021-04-24,ANA,1402
2021-04-26,ANA,1394
2021-04-28,ANA,1406
2021-04-30,ANA,1396
2021-05-01,ANA,1406
2021-05-03,ANA,1399
2021-05-05,ANA,1413
2021-05-07,ANA,1408
2021-05-08,ANA,1403
2021-10-13,ANA,1415
2021-10-15,ANA,1408
2021-10-18,ANA,1421
2021-10-19,ANA,1415
2021-10-21,ANA,1407
2021-10-23,ANA,1402
2021-10-26,ANA,1393
2021-10-28,ANA,1383
2021-10-29,ANA,1379
2021-10-31,ANA,1391
2021-11-02,ANA,1401
2021-11-05,ANA,1410
2021-11-07,ANA,1422
2021-11-09,ANA,1434
2021-11-11,ANA,1446
2021-11-14,ANA,1454
2021-11-16,ANA,1466
2021-11-18,ANA,1459
2021-11-22,ANA,1452
2021-11-24,ANA,1447
2021-11-26,ANA,1455
2021-11-28,ANA,1447
2021-11-30,ANA,1458
2021-12-01,ANA,1470
2021-12-03,ANA,1461
2021-12-06,ANA,1455
2021-12-07,ANA,1464
2021-12-09,ANA,1475
2021-12-11,ANA,1468
2021-12-12,ANA,1480
2021-12-15,ANA,1488
2021-12-17,ANA,1474
2021-12-29,ANA,1463
2021-12-31,ANA,1458
2022-01-02,ANA,1453
2022-01-04,ANA,1462
2022-01-08,ANA,1454
2022-01-09,ANA,1463
2022-01-11,ANA,1455
2022-01-14,ANA,1449
2022-01-15,ANA,1440
2022-01-19,ANA,1435
2022-01-21,ANA,1449
2022-01-24,ANA,1464
2022-01-26,ANA,1458
2022-01-27,ANA,1466
2022-01-29,ANA,1477
2022-01-31,ANA,1466
2022-02-11,ANA,1453
2022-02-16,ANA,1447
2022-02-17,ANA,1440
2022-02-19,ANA,1452
2022-02-22,ANA,1460
2022-02-25,ANA,1451
2022-02-27,ANA,1440
2022-03-01,ANA,1453
2022-03-04,ANA,1444
2022-03-06,ANA,1452
2022-03-08,ANA,1442
2022-03-10,ANA,1436
