date,team,elo
2022-03-12,ANA,1426
2022-03-13,ANA,1418
2022-03-15,ANA,1413
2022-03-18,ANA,1407
2022-03-21,ANA,1400
2022-03-23,ANA,1389
2022-03-26,ANA,1381
2022-03-29,ANA,1375
2022-03-31,ANA,1369
2022-04-01,ANA,1381
2022-04-03,ANA,1375
2022-04-06,ANA,1369
2022-04-09,ANA,1380
2022-04-10,ANA,1375
2022-04-12,ANA,1372
2022-04-14,ANA,1368
2022-04-17,ANA,1379
2022-04-19,ANA,1372
2022-04-23,ANA,1367
2022-04-24,ANA,1362
2022-04-26,ANA,1374
2022-04-29,ANA,1369
2022-10-12,ANA,1379
2022-10-15,ANA,1373
2022-10-17,ANA,1369
2022-10-18,ANA,1359
2022-10-20,ANA,1356
2022-10-23,ANA,1349
2022-10-26,ANA,1345
2022-10-28,ANA,1341
2022-10-30,ANA,1356
2022-11-01,ANA,1367
2022-11-03,ANA,1360
2022-11-05,ANA,1371
2022-11-06,ANA,1365
2022-11-09,ANA,1359
2022-11-12,ANA,1349
2022-11-15,ANA,1360
2022-11-17,ANA,1356
2022-11-19,ANA,1352
2022-11-21,ANA,1348
2022-11-23,ANA,1362
2022-11-25,ANA,1352
2022-11-27,ANA,1345
2022-11-29,ANA,1340
2022-12-01,ANA,1336
2022-12-03,ANA,1332
2022-12-04,ANA,1328
2022-12-06,ANA,1344
2022-12-09,ANA,1333
2022-12-12,ANA,1327
2022-12-13,ANA,1324
2022-12-15,ANA,1338
2022-12-17,ANA,1354
2022-12-20,ANA,1349
2022-12-21,ANA,1344
2022-12-23,ANA,1337
2022-12-28,ANA,1352
2022-12-30,ANA,1344
2023-01-02,ANA,1334
2023-01-04,ANA,1349
2023-01-06,ANA,1358
2023-01-08,ANA,1355
2023-01-11,ANA,1349
2023-01-13,ANA,1342
2023-01-16,ANA,1337
2023-01-17,ANA,1331
2023-01-19,ANA,1343
2023-01-21,ANA,1338
2023-01-24,ANA,1350
2023-01-26,ANA,1367
2023-01-28,ANA,1376
2023-02-06,ANA,1371
2023-02-07,ANA,1382
2023-02-10,ANA,1374
2023-02-12,ANA,1369
2023-02-15,ANA,1362
2023-02-17,ANA,1356
2023-02-20,ANA,1351
2023-02-21,ANA,1348
2023-02-23,ANA,1362
2023-02-25,ANA,1379
2023-02-27,ANA,1389
2023-03-01,ANA,1380
2023-03-03,ANA,1391
2023-03-07,ANA,1386
2023-03-08,ANA,1379
2023-03-10,ANA,1393
2023-03-12,ANA,1385
2023-03-15,ANA,1377
2023-03-17,ANA,1386
2023-03-19,ANA,1378
2023-03-21,ANA,1369
2023-03-23,ANA,1362
2023-03-25,ANA,1354
2023-03-27,ANA,1350
2023-03-30,ANA,1345
2023-04-01,ANA,1342
2023-04-02,ANA,1337
2023-04-05,ANA,1333
2023-04-08,ANA,1325
2023-04-09,ANA,1321
2023-04-11,ANA,1315
2023-04-13,ANA,1310
2023-10-14,ANA,1308
2023-10-15,ANA,1324
2023-10-19,ANA,1320
2023-10-21,ANA,1313
2023-10-22,ANA,1311
2023-10-24,ANA,1324
2023-10-26,ANA,1342
2023-10-28,ANA,1356
2023-10-30,ANA,1370
2023-11-01,ANA,1380
2023-11-05,ANA,1397
2023-11-07,ANA,1388
2023-11-10,ANA,1377
2023-11-12,ANA,1384
2023-11-14,ANA,1398
2023-11-15,ANA,1394
2023-11-17,ANA,1389
2023-11-19,ANA,1380
2023-11-22,ANA,1370
2023-11-24,ANA,1365
2023-11-26,ANA,1360
2023-11-28,ANA,1355
2023-11-30,ANA,1347
2023-12-02,ANA,1363
2023-12-05,ANA,1359
2023-12-07,ANA,1350
2023-12-10,ANA,1345
2023-12-13,ANA,1340
2023-12-15,ANA,1337
2023-12-17,ANA,1353
2023-12-18,ANA,1367
2023-12-21,ANA,1359
2023-12-23,ANA,1350
2023-12-27,ANA,1365
2023-12-29,ANA,1357
2023-12-31,ANA,1352
2024-01-03,ANA,1346
2024-01-05,ANA,1341
2024-01-07,ANA,1334
2024-01-09,ANA,1350
2024-01-11,ANA,1346
2024-01-13,ANA,1341
2024-01-15,ANA,1358
2024-01-16,ANA,1352
2024-01-20,ANA,1342
2024-01-21,ANA,1337
2024-01-23,ANA,1350
2024-01-25,ANA,1346
2024-01-27,ANA,1361
2024-01-31,ANA,1370
2024-02-09,ANA,1366
2024-02-13,ANA,1358
2024-02-15,ANA,1372
2024-02-17,ANA,1367
2024-02-19,ANA,1381
2024-02-21,ANA,1370
2024-02-24,ANA,1365
2024-02-25,ANA,1359
2024-02-29,ANA,1369
2024-03-01,ANA,1382
2024-03-03,ANA,1375
2024-03-06,ANA,1386
2024-03-08,ANA,1380
2024-03-10,ANA,1372
2024-03-12,ANA,1361
2024-03-14,ANA,1356
2024-03-15,ANA,1352
2024-03-17,ANA,1347
2024-03-19,ANA,1341
2024-03-21,ANA,1350
2024-03-24,ANA,1345
2024-03-26,ANA,1338
2024-03-28,ANA,1332
2024-03-30,ANA,1329
2024-03-31,ANA,1325
2024-04-02,ANA,1340
2024-04-05,ANA,1332
2024-04-07,ANA,1326
2024-04-09,ANA,1341
2024-04-12,ANA,1333
2024-04-13,ANA,1329
2024-04-18,ANA,1345
2021-02-02,ARI,1491
2021-02-04,ARI,1503
2021-02-06,ARI,1514
2021-02-08,ARI,1525
2021-02-12,ARI,1513
2021-02-13,ARI,1502
2021-02-15,ARI,1511
2021-02-18,ARI,1499
2021-02-20,ARI,1488
2021-02-22,ARI,1497
2021-02-24,ARI,1505
2021-02-26,ARI,1494
2021-02-27,ARI,1483
2021-03-03,ARI,1495
2021-03-05,ARI,1485
2021-03-06,ARI,1496
2021-03-08,ARI,1507
2021-03-10,ARI,1498
2021-03-12,ARI,1490
2021-03-14,ARI,1483
2021-03-16,ARI,1476
2021-03-18,ARI,1465
2021-03-20,ARI,1475
2021-03-22,ARI,1466
2021-03-23,ARI,1478
2021-03-26,ARI,1487
2021-03-27,ARI,1495
2021-03-31,ARI,1488
2021-04-02,ARI,1497
2021-04-04,ARI,1506
2021-04-05,ARI,1516
2021-04-07,ARI,1505
2021-04-09,ARI,1497
2021-04-11,ARI,1490
2021-04-12,ARI,1484
2021-04-14,ARI,1477
2021-04-17,ARI,1486
2021-04-19,ARI,1477
2021-04-21,ARI,1469
2021-04-24,ARI,1479
2021-04-26,ARI,1469
2021-04-28,ARI,1459
2021-04-30,ARI,1472
2021-05-01,ARI,1465
2021-05-03,ARI,1453
2021-05-05,ARI,1442
2021-05-07,ARI,1453
2021-05-08,ARI,1463
2021-10-14,ARI,1452
2021-10-16,ARI,1442
2021-10-18,ARI,1433
2021-10-21,ARI,1425
2021-10-23,ARI,1417
2021-10-25,ARI,1413
2021-10-28,ARI,1409
2021-10-29,ARI,1404
2021-10-31,ARI,1400
2021-11-02,ARI,1393
2021-11-05,ARI,1384
2021-11-06,ARI,1396
2021-11-10,ARI,1390
2021-11-12,ARI,1382
2021-11-13,ARI,1377
2021-11-16,ARI,1391
2021-11-18,ARI,1382
2021-11-20,ARI,1393
2021-11-21,ARI,1406
2021-11-24,ARI,1400
2021-11-27,ARI,1391
2021-11-29,ARI,1404
2021-11-30,ARI,1400
2021-12-03,ARI,1394
2021-12-06,ARI,1388
2021-12-10,ARI,1383
2021-12-11,ARI,1373
2021-12-15,ARI,1367
2021-12-17,ARI,1381
2021-12-28,ARI,1374
2022-01-04,ARI,1366
2022-01-06,ARI,1377
2022-01-08,ARI,1372
2022-01-12,ARI,1387
2022-01-14,ARI,1384
2022-01-15,ARI,1379
2022-01-17,ARI,1388
2022-01-19,ARI,1399
2022-01-21,ARI,1393
2022-01-22,ARI,1389
2022-01-25,ARI,1385
2022-01-28,ARI,1379
2022-01-29,ARI,1367
2022-02-01,ARI,1385
2022-02-02,ARI,1378
2022-02-08,ARI,1372
2022-02-09,ARI,1384
2022-02-11,ARI,1379
2022-02-19,ARI,1372
2022-02-20,ARI,1386
2022-02-23,ARI,1379
2022-02-25,ARI,1393
2022-02-27,ARI,1384
2022-03-03,ARI,1400
2022-03-05,ARI,1410
2022-03-08,ARI,1422
2022-03-10,ARI,1437
2022-03-12,ARI,1432
2022-03-14,ARI,1443
2022-03-15,ARI,1453
2022-03-19,ARI,1446
2022-03-20,ARI,1436
2022-03-22,ARI,1424
2022-03-25,ARI,1419
2022-03-27,ARI,1412
2022-03-28,ARI,1406
2022-03-30,ARI,1416
2022-04-01,ARI,1404
2022-04-03,ARI,1415
2022-04-04,ARI,1409
2022-04-07,ARI,1400
2022-04-09,ARI,1394
2022-04-12,ARI,1383
2022-04-14,ARI,1377
2022-04-16,ARI,1373
2022-04-18,ARI,1367
2022-04-20,ARI,1356
2022-04-22,ARI,1350
2022-04-23,ARI,1345
2022-04-26,ARI,1362
2022-04-27,ARI,1377
2022-04-29,ARI,1390
2022-10-13,ARI,1385
2022-10-15,ARI,1381
2022-10-17,ARI,1397
2022-10-20,ARI,1388
2022-10-22,ARI,1381
2022-10-25,ARI,1394
2022-10-28,ARI,1387
2022-10-30,ARI,1381
2022-11-01,ARI,1396
2022-11-03,ARI,1389
2022-11-05,ARI,1403
2022-11-08,ARI,1416
2022-11-10,ARI,1430
2022-11-12,ARI,1422
2022-11-13,ARI,1416
2022-11-17,ARI,1411
2022-11-21,ARI,1404
2022-11-23,ARI,1419
2022-11-25,ARI,1411
2022-11-27,ARI,1405
2022-12-01,ARI,1399
2022-12-03,ARI,1392
2022-12-05,ARI,1386
2022-12-07,ARI,1381
2022-12-09,ARI,1397
2022-12-11,ARI,1405
2022-12-13,ARI,1395
2022-12-16,ARI,1407
2022-12-17,ARI,1398
2022-12-19,ARI,1387
2022-12-21,ARI,1382
2022-12-23,ARI,1395
2022-12-27,ARI,1410
2022-12-29,ARI,1424
2022-12-31,ARI,1420
2023-01-03,ARI,1413
2023-01-05,ARI,1403
2023-01-06,ARI,1391
2023-01-08,ARI,1383
2023-01-10,ARI,1371
2023-01-12,ARI,1363
2023-01-14,ARI,1359
2023-01-15,ARI,1355
2023-01-17,ARI,1366
2023-01-19,ARI,1359
2023-01-21,ARI,1355
2023-01-22,ARI,1369
2023-01-24,ARI,1357
2023-01-26,ARI,1370
2023-01-28,ARI,1361
2023-02-06,ARI,1376
2023-02-10,ARI,1367
2023-02-11,ARI,1361
2023-02-13,ARI,1376
2023-02-15,ARI,1392
2023-02-18,ARI,1387
2023-02-19,ARI,1396
2023-02-22,ARI,1387
2023-02-26,ARI,1380
2023-02-28,ARI,1390
2023-03-01,ARI,1383
2023-03-03,ARI,1378
2023-03-05,ARI,1372
2023-03-07,ARI,1383
2023-03-09,ARI,1396
2023-03-11,ARI,1391
2023-03-12,ARI,1405
2023-03-14,ARI,1416
2023-03-16,ARI,1427
2023-03-18,ARI,1436
2023-03-21,ARI,1429
2023-03-22,ARI,1424
2023-03-24,ARI,1419
2023-03-26,ARI,1413
2023-03-27,ARI,1406
2023-03-31,ARI,1398
2023-04-01,ARI,1385
2023-04-03,ARI,1379
2023-04-06,ARI,1374
2023-04-08,ARI,1382
2023-04-10,ARI,1375
2023-04-13,ARI,1367
2023-10-13,ARI,1383
2023-10-16,ARI,1378
2023-10-17,ARI,1372
2023-10-19,ARI,1386
2023-10-21,ARI,1393
2023-10-24,ARI,1388
2023-10-27,ARI,1382
2023-10-30,ARI,1391
2023-11-01,ARI,1381
2023-11-02,ARI,1391
2023-11-04,ARI,1383
2023-11-07,ARI,1396
2023-11-09,ARI,1389
2023-11-11,ARI,1403
2023-11-14,ARI,1399
2023-11-16,ARI,1408
2023-11-18,ARI,1402
2023-11-20,ARI,1396
2023-11-22,ARI,1388
2023-11-25,ARI,1405
2023-11-28,ARI,1417
2023-11-30,ARI,1432
2023-12-02,ARI,1443
2023-12-04,ARI,1453
2023-12-07,ARI,1442
2023-12-09,ARI,1438
2023-12-11,ARI,1430
2023-12-12,ARI,1422
2023-12-15,ARI,1430
2023-12-16,ARI,1441
2023-12-19,ARI,1450
2023-12-21,ARI,1458
2023-12-23,ARI,1452
2023-12-27,ARI,1464
2023-12-29,ARI,1472
2024-01-02,ARI,1465
2024-01-04,ARI,1454
2024-01-07,ARI,1447
2024-01-09,ARI,1460
2024-01-11,ARI,1450
2024-01-13,ARI,1462
2024-01-16,ARI,1454
2024-01-18,ARI,1448
2024-01-20,ARI,1460
2024-01-22,ARI,1470
2024-01-24,ARI,1464
2024-01-25,ARI,1457
2024-01-27,ARI,1451
2024-02-08,ARI,1444
2024-02-10,ARI,1437
2024-02-12,ARI,1430
2024-02-14,ARI,1421
2024-02-16,ARI,1414
2024-02-18,ARI,1409
2024-02-19,ARI,1404
2024-02-21,ARI,1397
2024-02-25,ARI,1392
2024-02-27,ARI,1383
2024-02-29,ARI,1379
2024-03-01,ARI,1392
2024-03-03,ARI,1405
2024-03-05,ARI,1391
2024-03-07,ARI,1383
2024-03-08,ARI,1396
2024-03-10,ARI,1384
2024-03-12,ARI,1378
2024-03-14,ARI,1392
2024-03-16,ARI,1403
2024-03-20,ARI,1398
2024-03-22,ARI,1409
2024-03-24,ARI,1403
2024-03-26,ARI,1411
2024-03-28,ARI,1425
2024-03-30,ARI,1420
2024-04-03,ARI,1412
2024-04-05,ARI,1425
2024-04-07,ARI,1432
2024-04-09,ARI,1423
2024-04-10,ARI,1437
2024-04-12,ARI,1452
2024-04-14,ARI,1443
2024-04-17,ARI,1456
2022-02-05,ATL,1491
2023-02-04,ATL,1501
2023-02-04,ATL,1510
2021-02-01,BOS,1511
2021-02-03,BOS,1522
2021-02-05,BOS,1532
2021-02-10,BOS,1542
2021-02-12,BOS,1552
2021-02-13,BOS,1541
2021-02-18,BOS,1529
2021-02-21,BOS,1537
2021-02-25,BOS,1527
2021-02-26,BOS,1517
2021-02-28,BOS,1527
2021-03-03,BOS,1515
2021-03-05,BOS,1524
2021-03-07,BOS,1511
2021-03-09,BOS,1503
2021-03-11,BOS,1512
2021-03-13,BOS,1500
2021-03-15,BOS,1492
2021-03-16,BOS,1505
2021-03-18,BOS,1513
2021-03-25,BOS,1504
2021-03-27,BOS,1509
2021-03-28,BOS,1497
2021-03-30,BOS,1505
2021-04-01,BOS,1496
2021-04-03,BOS,1507
2021-04-05,BOS,1495
2021-04-06,BOS,1505
2021-04-08,BOS,1518
2021-04-10,BOS,1507
2021-04-11,BOS,1497
2021-04-13,BOS,1503
2021-04-15,BOS,1514
2021-04-16,BOS,1525
2021-04-18,BOS,1535
2021-04-20,BOS,1542
2021-04-22,BOS,1549
2021-04-23,BOS,1535
2021-04-25,BOS,1527
2021-04-27,BOS,1539
2021-04-29,BOS,1544
2021-05-01,BOS,1549
2021-05-03,BOS,1556
2021-05-04,BOS,1543
2021-05-06,BOS,1551
2021-05-08,BOS,1538
2021-05-10,BOS,1547
2021-05-11,BOS,1539
2021-05-15,BOS,1531
2021-05-17,BOS,1544
2021-05-19,BOS,1554
2021-05-21,BOS,1563
2021-05-23,BOS,1574
2021-05-29,BOS,1582
2021-05-31,BOS,1570
2021-06-03,BOS,1581
2021-06-05,BOS,1571
2021-06-07,BOS,1560
2021-06-09,BOS,1551
2021-10-16,BOS,1558
2021-10-20,BOS,1546
2021-10-22,BOS,1554
2021-10-24,BOS,1561
2021-10-27,BOS,1554
2021-10-28,BOS,1546
2021-10-30,BOS,1557
2021-11-04,BOS,1563
2021-11-06,BOS,1553
2021-11-09,BOS,1559
2021-11-11,BOS,1548
2021-11-13,BOS,1556
2021-11-14,BOS,1562
2021-11-20,BOS,1571
2021-11-21,BOS,1558
2021-11-24,BOS,1564
2021-11-26,BOS,1553
2021-11-28,BOS,1558
2021-11-30,BOS,1544
2021-12-02,BOS,1555
2021-12-04,BOS,1545
2021-12-08,BOS,1532
2021-12-09,BOS,1544
2021-12-11,BOS,1554
2021-12-14,BOS,1544
2021-12-16,BOS,1533
2022-01-01,BOS,1538
2022-01-02,BOS,1547
2022-01-04,BOS,1553
2022-01-06,BOS,1542
2022-01-08,BOS,1555
2022-01-10,BOS,1565
2022-01-12,BOS,1569
2022-01-13,BOS,1574
2022-01-15,BOS,1583
2022-01-18,BOS,1572
2022-01-20,BOS,1580
2022-01-22,BOS,1586
2022-01-24,BOS,1571
2022-01-26,BOS,1565
2022-01-28,BOS,1571
2022-01-30,BOS,1560
2022-02-01,BOS,1565
2022-02-08,BOS,1554
2022-02-10,BOS,1544
2022-02-12,BOS,1552
2022-02-15,BOS,1544
2022-02-17,BOS,1532
2022-02-19,BOS,1541
2022-02-21,BOS,1554
2022-02-24,BOS,1560
2022-02-26,BOS,1567
2022-02-28,BOS,1577
2022-03-01,BOS,1564
2022-03-03,BOS,1574
2022-03-05,BOS,1582
2022-03-07,BOS,1570
2022-03-10,BOS,1575
2022-03-12,BOS,1580
2022-03-15,BOS,1587
2022-03-16,BOS,1577
2022-03-18,BOS,1585
2022-03-21,BOS,1591
2022-03-24,BOS,1600
2022-03-26,BOS,1606
2022-03-29,BOS,1594
2022-03-31,BOS,1598
2022-04-02,BOS,1603
2022-04-04,BOS,1610
2022-04-05,BOS,1595
2022-04-08,BOS,1605
2022-04-10,BOS,1594
2022-04-12,BOS,1582
2022-04-14,BOS,1567
2022-04-16,BOS,1575
2022-04-19,BOS,1586
2022-04-21,BOS,1576
2022-04-23,BOS,1586
2022-04-24,BOS,1591
2022-04-26,BOS,1602
2022-04-28,BOS,1607
2022-04-29,BOS,1598
2022-05-02,BOS,1589
2022-05-04,BOS,1580
2022-05-06,BOS,1590
2022-05-08,BOS,1599
2022-05-10,BOS,1590
2022-05-12,BOS,1599
2022-05-14,BOS,1590
2022-10-12,BOS,1599
2022-10-15,BOS,1603
2022-10-17,BOS,1613
2022-10-18,BOS,1599
2022-10-20,BOS,1602
2022-10-22,BOS,1610
2022-10-25,BOS,1617
2022-10-27,BOS,1621
2022-10-28,BOS,1627
2022-11-01,BOS,1635
2022-11-03,BOS,1644
2022-11-05,BOS,1632
2022-11-07,BOS,1638
2022-11-10,BOS,1644
2022-11-12,BOS,1650
2022-11-13,BOS,1654
2022-11-17,BOS,1657
2022-11-19,BOS,1660
2022-11-21,BOS,1670
2022-11-23,BOS,1657
2022-11-25,BOS,1663
2022-11-29,BOS,1671
2022-12-03,BOS,1680
2022-12-05,BOS,1666
2022-12-07,BOS,1676
2022-12-09,BOS,1660
2022-12-11,BOS,1668
2022-12-13,BOS,1673
2022-12-15,BOS,1657
2022-12-17,BOS,1660
2022-12-19,BOS,1666
2022-12-22,BOS,1672
2022-12-23,BOS,1678
2022-12-27,BOS,1663
2022-12-28,BOS,1669
2022-12-31,BOS,1654
2023-01-02,BOS,1660
2023-01-05,BOS,1667
2023-01-07,BOS,1670
2023-01-08,BOS,1673
2023-01-12,BOS,1659
2023-01-14,BOS,1666
2023-01-16,BOS,1670
2023-01-18,BOS,1676
2023-01-19,BOS,1684
2023-01-22,BOS,1686
2023-01-24,BOS,1690
2023-01-26,BOS,1679
2023-01-28,BOS,1665
2023-01-29,BOS,1654
2023-02-01,BOS,1663
2023-02-11,BOS,1648
2023-02-14,BOS,1656
2023-02-16,BOS,1663
2023-02-18,BOS,1667
2023-02-20,BOS,1672
2023-02-23,BOS,1679
2023-02-25,BOS,1684
2023-02-27,BOS,1691
2023-02-28,BOS,1696
2023-03-02,BOS,1701
2023-03-04,BOS,1706
2023-03-09,BOS,1691
2023-03-11,BOS,1694
2023-03-12,BOS,1679
2023-03-14,BOS,1663
2023-03-16,BOS,1670
2023-03-18,BOS,1678
2023-03-19,BOS,1684
2023-03-21,BOS,1688
2023-03-23,BOS,1691
2023-03-25,BOS,1696
2023-03-26,BOS,1705
2023-03-28,BOS,1689
2023-03-30,BOS,1691
2023-04-01,BOS,1697
2023-04-02,BOS,1702
2023-04-06,BOS,1708
2023-04-08,BOS,1713
2023-04-09,BOS,1716
2023-04-11,BOS,1719
2023-04-13,BOS,1722
2023-04-17,BOS,1727
2023-04-19,BOS,1711
2023-04-21,BOS,1718
2023-04-23,BOS,1724
2023-04-26,BOS,1708
2023-04-28,BOS,1695
2023-04-30,BOS,1681
2023-10-11,BOS,1684
2023-10-14,BOS,1689
2023-10-19,BOS,1691
2023-10-21,BOS,1698
2023-10-22,BOS,1700
2023-10-24,BOS,1703
2023-10-26,BOS,1685
2023-10-28,BOS,1689
2023-10-30,BOS,1696
2023-11-02,BOS,1702
2023-11-04,BOS,1687
2023-11-06,BOS,1695
2023-11-09,BOS,1699
2023-11-11,BOS,1683
2023-11-14,BOS,1689
2023-11-18,BOS,1692
2023-11-20,BOS,1677
2023-11-22,BOS,1686
2023-11-24,BOS,1670
2023-11-25,BOS,1660
2023-11-27,BOS,1643
2023-11-30,BOS,1645
2023-12-02,BOS,1654
2023-12-03,BOS,1657
2023-12-07,BOS,1641
2023-12-09,BOS,1645
2023-12-13,BOS,1633
2023-12-15,BOS,1640
2023-12-16,BOS,1628
2023-12-19,BOS,1613
2023-12-22,BOS,1602
2023-12-23,BOS,1590
2023-12-27,BOS,1598
2023-12-30,BOS,1605
2023-12-31,BOS,1612
2024-01-02,BOS,1617
2024-01-04,BOS,1603
2024-01-06,BOS,1610
2024-01-08,BOS,1600
2024-01-09,BOS,1587
2024-01-11,BOS,1577
2024-01-13,BOS,1586
2024-01-15,BOS,1593
2024-01-18,BOS,1602
2024-01-20,BOS,1607
2024-01-22,BOS,1616
2024-01-24,BOS,1603
2024-01-25,BOS,1610
2024-01-27,BOS,1617
2024-02-06,BOS,1602
2024-02-08,BOS,1611
2024-02-10,BOS,1595
2024-02-13,BOS,1583
2024-02-15,BOS,1569
2024-02-17,BOS,1556
2024-02-19,BOS,1566
2024-02-21,BOS,1579
2024-02-22,BOS,1568
2024-02-24,BOS,1559
2024-02-26,BOS,1548
2024-02-29,BOS,1557
2024-03-02,BOS,1545
2024-03-04,BOS,1557
2024-03-05,BOS,1548
2024-03-07,BOS,1558
2024-03-09,BOS,1564
2024-03-11,BOS,1551
2024-03-14,BOS,1558
2024-03-16,BOS,1565
2024-03-19,BOS,1571
2024-03-21,BOS,1561
2024-03-23,BOS,1550
2024-03-26,BOS,1563
2024-03-27,BOS,1554
2024-03-30,BOS,1564
2024-04-02,BOS,1575
2024-04-04,BOS,1587
2024-04-06,BOS,1596
2024-04-09,BOS,1586
2024-04-13,BOS,1594
2024-04-15,BOS,1582
2024-04-16,BOS,1568
2024-04-20,BOS,1577
2021-01-31,BUF,1489
2021-02-15,BUF,1479
2021-02-16,BUF,1469
2021-02-18,BUF,1460
2021-02-20,BUF,1473
2021-02-22,BUF,1465
2021-02-23,BUF,1477
2021-02-25,BUF,1467
2021-02-27,BUF,1457
2021-02-28,BUF,1447
2021-03-02,BUF,1439
2021-03-04,BUF,1433
2021-03-06,BUF,1427
2021-03-07,BUF,1421
2021-03-09,BUF,1414
2021-03-11,BUF,1406
2021-03-13,BUF,1399
2021-03-15,BUF,1392
2021-03-16,BUF,1384
2021-03-18,BUF,1376
2021-03-22,BUF,1370
2021-03-24,BUF,1365
2021-03-25,BUF,1360
2021-03-27,BUF,1355
2021-03-29,BUF,1347
2021-03-31,BUF,1360
2021-04-01,BUF,1353
2021-04-03,BUF,1367
2021-04-06,BUF,1380
2021-04-08,BUF,1371
2021-04-09,BUF,1365
2021-04-11,BUF,1379
2021-04-13,BUF,1373
2021-04-15,BUF,1389
2021-04-17,BUF,1383
2021-04-18,BUF,1397
2021-04-20,BUF,1390
2021-04-22,BUF,1383
2021-04-23,BUF,1397
2021-04-25,BUF,1391
2021-04-27,BUF,1386
2021-04-29,BUF,1381
2021-05-01,BUF,1376
2021-05-03,BUF,1390
2021-05-04,BUF,1404
2021-05-06,BUF,1399
2021-05-08,BUF,1395
2021-10-14,BUF,1408
2021-10-16,BUF,1418
2021-10-19,BUF,1428
2021-10-22,BUF,1420
2021-10-23,BUF,1411
2021-10-25,BUF,1425
2021-10-28,BUF,1435
2021-10-31,BUF,1425
2021-11-02,BUF,1417
2021-11-04,BUF,1409
2021-11-06,BUF,1398
2021-11-08,BUF,1392
2021-11-12,BUF,1406
2021-11-13,BUF,1399
2021-11-16,BUF,1413
2021-11-18,BUF,1404
2021-11-21,BUF,1398
2021-11-22,BUF,1389
2021-11-24,BUF,1383
2021-11-26,BUF,1393
2021-11-27,BUF,1385
2021-11-29,BUF,1376
2021-12-02,BUF,1372
2021-12-04,BUF,1368
2021-12-07,BUF,1359
2021-12-10,BUF,1354
2021-12-11,BUF,1348
2021-12-14,BUF,1362
2021-12-16,BUF,1379
2021-12-17,BUF,1374
2021-12-29,BUF,1363
2021-12-30,BUF,1357
2022-01-01,BUF,1352
2022-01-06,BUF,1344
2022-01-11,BUF,1340
2022-01-13,BUF,1357
2022-01-15,BUF,1350
2022-01-17,BUF,1341
2022-01-18,BUF,1355
2022-01-20,BUF,1348
2022-01-22,BUF,1358
